,paper ID_df1,paper title_df1,author names_df1,publication venue_df1,year of publication_df1,index_df1,paper ID_df2,paper title_df2,author names_df2,publication venue_df2,year of publication_df2,index_df2,similarity_score,ID,_merge
67,539087d420f70186a0d5df63,orderofmagnitude advantage on tpcc through massive parallelism,charles levine,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,795,53e99940b7602d970217d9fa,orderofmagnitude advantage of tpcc though massive parallelism,charles levine,sigmod conference,1995,3931,0.6888888888888889,539087d420f70186a0d5df6353e99940b7602d970217d9fa,left_only
71,539087d420f70186a0d5df67,"workflow automation applications, technology and research",amit sheth,sigmod 95 proceedings of the 1995 acm sigmod international conference on management of data,1995,800,53e9b36cb7602d9703e4bd5c,"workflow automation applications, technology, and research tutorial",amit p sheth,sigmod conference,1995,4375,0.6913461538461538,539087d420f70186a0d5df6753e9b36cb7602d9703e4bd5c,left_only
109,539087dd20f70186a0d62b50,"tpcdthe challenges, issues and results",ramesh bhashyam,acm sigmod record,1996,928,53e9af81b7602d97039c4d92,"tcpd  the challenges, issues and results",ramesh bhashyam,sigmod record,1996,3405,0.7,539087dd20f70186a0d62b5053e9af81b7602d97039c4d92,left_only
133,539087dd20f70186a0d644d4,devise integrated querying and visual exploration of large datasets,"m livny, r ramakrishnan, k beyer, g chen, d donjerkovic, s lawande, j myllymaki, k wenger",sigmod 97 proceedings of the 1997 acm sigmod international conference on management of data,1997,984,53e998e9b7602d9702127828,devise integrated querying and visualization of large datasets,"miron livny, raghu ramakrishnan, kevin s beyer, guangshun chen, donko donjerkovic, shilpa lawande, jussi myllymaki, r kent wenger",sigmod conference,1997,4785,0.6726086956521738,539087dd20f70186a0d644d453e998e9b7602d9702127828,left_only
158,539087e720f70186a0d6840d,workshop on workflow management in scientific and engineering applicationsreport,"r mcclatchey, g vossen",acm sigmod record,1997,1066,53e9bda6b7602d9704a53431,workshop on workflow management in scientific and engineering applications  report,"richard mcclatchey, gottfried vossen",sigmod record,1997,4970,0.6669856459330143,539087e720f70186a0d6840d53e9bda6b7602d9704a53431,left_only
315,5390880d20f70186a0d7b5bd,workshop on performance and architecture of web servers,"krishna kant, prasant mohapatra",acm sigmod record,2000,1558,53e99e54b7602d97027185c1,"workshop on performance and architecture of web servers paws2000, held in conjection with sigmetrics2000","krishna kant, prasant mohapatra",sigmod record,2000,3571,0.7,5390880d20f70186a0d7b5bd53e99e54b7602d97027185c1,left_only
325,5390880d20f70186a0d7cd5f,report on the vldb workshop on technologies for eservices tes,"fabio casati, umesh dayal, mingchien shan",acm sigmod record,2000,1568,53e9ba0bb7602d970460d669,vldb workshop on technologies in eservices tes,"fabio casati, umeshwar dayal, mingchien shan",sigmod record,2000,2989,0.6859090909090908,5390880d20f70186a0d7cd5f53e9ba0bb7602d970460d669,left_only
361,5390881220f70186a0d7e35f,will database researchers have any role in data security panel session,"arnon rosenthal, klaus dittrich, jim donahue, bill maimone",sigmod 01 proceedings of the 2001 acm sigmod international conference on management of data,2001,1692,53e9b42fb7602d9703f25796,will database researchers have any role in data security panel abstract,arnon rosenthal,sigmod conference,2001,4115,0.6706060606060606,5390881220f70186a0d7e35f53e9b42fb7602d9703f25796,left_only
384,5390881720f70186a0d7ff31,reminiscences in influential papers,richard snodgrass,acm sigmod record,1998,1727,53e99b0ab7602d970239c217,reminiscences on influential papers,richard t snodgrass,sigmod record,1998,3025,0.69,5390881720f70186a0d7ff3153e99b0ab7602d970239c217,left_only
556,539089d320f70186a0d9c21e,small worlds the dynamics of networks between order and randomness,"jie wu, duncan j watts",acm sigmod record,2002,1971,53e9a217b7602d9702b1d9d0,small worlds the dynamics of networks between order and randomness  book review,jie wu 0012,sigmod record,2002,3273,0.6673333333333333,539089d320f70186a0d9c21e53e9a217b7602d9702b1d9d0,left_only
560,539089d320f70186a0d9c222,an early look at xquery,"andrew eisenberg, jim melton",acm sigmod record,2002,1961,53e9a335b7602d9702c3bf4a,an early look at xquery api for java xqj,"andrew eisenberg, jim melton",sigmod record,2004,3601,0.6888888888888889,539089d320f70186a0d9c22253e9a335b7602d9702c3bf4a,left_only
571,53908a4020f70186a0d9d779,"report on the first international conference on ontologies, databases and applications of semantics odbase part of the federated conference on the move to meaningful internet systems 2002",karl aberer,acm sigmod record,2003,1982,53e9a051b7602d97029361aa,"report on the first international conference on ontologies, databases and applications of semantics",karl aberer,sigmod record,2003,3284,0.7,53908a4020f70186a0d9d77953e9a051b7602d97029361aa,left_only
579,53908a7420f70186a0da4477,"dont scrap it, wrap it a wrapper architecture for legacy data sources","mary tork roth, peter m schwarz",vldb 97 proceedings of the 23rd international conference on very large data bases,1997,2074,53e9b0c7b7602d9703b3faca,"review  dont scrap it, wrap it a wrapper architecture for legacy data sources",betty salzberg,acm sigmod digital review,1999,4513,0.652972027972028,53908a7420f70186a0da447753e9b0c7b7602d9703b3faca,left_only
665,53908a7420f70186a0da45d4,evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,"reinhard braumandl, jens claußen, alfons kemper",vldb 98 proceedings of the 24rd international conference on very large data bases,1998,2083,53e9b3b7b7602d9703e9cc21,review  evaluating functional joins along nested reference sets in objectrelational and objectoriented databases,sophie cluet,acm sigmod digital review,1999,4520,0.6568681318681319,53908a7420f70186a0da45d453e9b3b7b7602d9703e9cc21,left_only
682,53908a7420f70186a0da45e4,implementation of two semantic query optimization techniques in db2 universal database,"qi cheng, jarek gryz, fred koo, t y cliff leung, linqi liu, xiaoyan qian, k bernhard schiefer",vldb 99 proceedings of the 25th international conference on very large data bases,1999,2157,53e9b8d4b7602d97044b42ef,review  implementation of two semantic query optimization techniques in db2 universal database,richard t snodgrass,acm sigmod digital review,2000,4524,0.661231884057971,53908a7420f70186a0da45e453e9b8d4b7602d97044b42ef,left_only
881,53908a9620f70186a0da4d90,"the hbptree a modified hbtree supporting concurrency, recovery and node consolidation","georgios evangelidis, david b lomet, betty salzberg",vldb 95 proceedings of the 21th international conference on very large data bases,1995,2330,53e99bf7b7602d97024a3d10,"the hbpitree a multiattribute index supporting concurrency, recovery and node consolidation","georgios evangelidis, david b lomet, betty salzberg",vldb j,1997,4925,0.7,53908a9620f70186a0da4d9053e99bf7b7602d97024a3d10,left_only
998,53908b4920f70186a0dbab1b,the lham logstructured history data access method,"peter muth, patrick oneil, achim pick, gerhard weikum",the vldb journal  the international journal on very large data bases,2000,2500,53e9acaeb7602d970368c6ab,"design, implementation, and performance of the lham logstructured history data access method","peter muth, patrick e oneil, achim pick, gerhard weikum",vldb,1998,3882,0.6960884353741497,53908b4920f70186a0dbab1b53e9acaeb7602d970368c6ab,left_only
1056,53908b4920f70186a0dbabe0,"the hb pitree a multiattribute index supporting concurrency, recovery and node consolidation","georgios evangelidis, david lomet, betty salzberg",the vldb journal  the international journal on very large data bases,1997,2553,53e99d4cb7602d9702603dec,"the hbptree a modified hbtree supporting concurrency, recovery and node consolidation","georgios evangelidis, david b lomet, betty salzberg",vldb,1995,4289,0.6672108843537414,53908b4920f70186a0dbabe053e99d4cb7602d9702603dec,left_only
1070,53908b4920f70186a0dbabee,erratuma database model for object dynamics,"m p papazoglou, b j kr228mer",the vldb journal  the international journal on very large data bases,1997,2611,53e9a122b7602d9702a11fe0,a database model for object dynamics,"mike p papazoglou, bernd j krämer",vldb j,1997,3896,0.6538461538461539,53908b4920f70186a0dbabee53e9a122b7602d9702a11fe0,left_only
1160,53908d6520f70186a0dd1a0a,chain operator scheduling for memory minimization in data stream systems,"brian babcock, shivnath babu, rajeev motwani, mayur datar",proceedings of the 2003 acm sigmod international conference on management of data,2003,2713,53e9b02fb7602d9703a8a898,operator scheduling in data stream systems,"brian babcock, shivnath babu, mayur datar, rajeev motwani, dilys thomas",vldb j,2004,4172,0.6619354838709677,53908d6520f70186a0dd1a0a53e9b02fb7602d9703a8a898,left_only
1195,53908d6520f70186a0dd1a32,griddb a relational interface for the grid,"david t liu, michael j franklin, devesh parekh",proceedings of the 2003 acm sigmod international conference on management of data,2003,2777,53e9a35fb7602d9702c6a77a,griddb a database interface to the grid,"david t liu, michael j franklin, devesh parekh",sigmod conference,2003,4616,0.6888888888888889,53908d6520f70186a0dd1a3253e9a35fb7602d9702c6a77a,left_only
1352,5390972920f70186a0dfacb6,order preserving encryption for numeric data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,35,53e9b11db7602d9703b9ab51,orderpreserving encryption for numeric data,"rakesh agrawal, jerry kiernan, ramakrishnan srikant, yirong xu",sigmod conference,2004,4340,0.7,5390972920f70186a0dfacb653e9b11db7602d9703b9ab51,left_only
1371,5390972920f70186a0dfacca,estimating progress of execution for sql queries,"surajit chaudhuri, vivek narasayya, ravishankar ramamurthy",sigmod 04 proceedings of the 2004 acm sigmod international conference on management of data,2004,44,53e9b84ab7602d970440e66e,estimating progress of long running sql queries,"surajit chaudhuri, vivek r narasayya, ravishankar ramamurthy",sigmod conference,2004,3446,0.683531746031746,5390972920f70186a0dfacca53e9b84ab7602d970440e66e,left_only
1437,5390975920f70186a0dfe2ba,an early look at xquery api for java xqj,"andrew eisenberg, jim melton",acm sigmod record,2004,165,53e9ab00b7602d97034842b9,an early look at xquery,"jim melton, andrew eisenberg",sigmod record,2002,3597,0.6888888888888889,5390975920f70186a0dfe2ba53e9ab00b7602d97034842b9,left_only
1459,5390979920f70186a0e00cd2,operator scheduling in data stream systems,"brian babcock, shivnath babu, mayur datar, rajeev motwani, dilys thomas",the vldb journal  the international journal on very large data bases,2004,198,53e99f2db7602d97027f8653,chain  operator scheduling for memory minimization in data stream systems,"brian babcock, shivnath babu, mayur datar, rajeev motwani",sigmod conference,2003,4860,0.6619354838709677,5390979920f70186a0e00cd253e99f2db7602d97027f8653,left_only
1596,53909f8c20f70186a0e3fe68,avoiding sorting and grouping in processing queries,"xiaoyu wang, mitch cherniack",vldb 03 proceedings of the 29th international conference on very large data bases  volume 29,2003,440,53e9b929b7602d970451535e,avoiding ordering and grouping in query processing,"xiaoyu wang, mitch cherniack",vldb,2003,3502,0.6888888888888889,53909f8c20f70186a0e3fe6853e9b929b7602d970451535e,left_only
1664,53909f8c20f70186a0e401b4,networkaware query processing for streambased applications,"yanif ahmad, uğur çetintemel",vldb 04 proceedings of the thirtieth international conference on very large data bases  volume 30,2004,528,53e9a12ab7602d9702a19db5,networked query processing for distributed streambased applications,"yanif ahmad, ugur çetintemel",vldb,2004,3653,0.6794354838709677,53909f8c20f70186a0e401b453e9a12ab7602d9702a19db5,left_only
1674,53909f8c20f70186a0e401d5,a framework for projected clustering of high dimensional data streams,"charu c aggarwal, jiawei han, jianyong wang, philip s yu",vldb 04 proceedings of the thirtieth international conference on very large data bases  volume 30,2004,636,53e9a85cb7602d97031a708b,a framework for clustering evolving data streams,"charu c aggarwal, jiawei han, jianyong wang, philip s yu",vldb,2003,3103,0.6818181818181818,53909f8c20f70186a0e401d553e9a85cb7602d97031a708b,left_only
1747,558f39730cf222bc17bc20ff,guest editorial,matthias jarke,the vldb journal  the international journal on very large data bases,1998,2537,53e99796b7602d9701f5cf1d,guest editorial,"philip a bernstein, yannis e ioannidis, raghu ramakrishnan",vldb j,2003,4060,0.7,558f39730cf222bc17bc20ff53e99796b7602d9701f5cf1d,left_only
1748,558f39730cf222bc17bc20ff,guest editorial,matthias jarke,the vldb journal  the international journal on very large data bases,1998,2537,53e99796b7602d9701f5cf1f,guest editorial,"amr el abbadi, gunter schlageter, kyuyoung whang",vldb j,2001,4153,0.7,558f39730cf222bc17bc20ff53e99796b7602d9701f5cf1f,left_only
